step,loss,loss/mean,loss/std,lr,momentum
1,0.01582670956850052,0.01582670956850052,0.014840014943712473,0.002,0.9
2,0.006972988601773977,0.006972988601773977,0.0009810654635669601,0.002,0.9
3,0.005816064774990082,0.005816064774990082,0.0007118385708877852,0.002,0.9
4,0.005262585356831551,0.005262585356831551,0.0006312611727353117,0.002,0.9
5,0.0049329702742397785,0.0049329702742397785,0.00060645097087632,0.002,0.9
6,0.0046987757086753845,0.0046987757086753845,0.0006068418659110808,0.002,0.9
7,0.004548056982457638,0.004548056982457638,0.000554805868684414,0.002,0.9
8,0.00443209009245038,0.00443209009245038,0.0005435346238294062,0.002,0.9
9,0.004345322027802467,0.004345322027802467,0.000530198413483534,0.002,0.9
10,0.004274411592632532,0.004274411592632532,0.0005263179240418257,0.002,0.9
11,0.004217766225337982,0.004217766225337982,0.0005350375607644046,0.002,0.9
12,0.004171289503574371,0.004171289503574371,0.000537388067530764,0.002,0.9
13,0.004142763093113899,0.004142763093113899,0.0005176126658990625,0.002,0.9
14,0.0040664332918822765,0.0040664332918822765,0.0004948848944067278,0.002,0.9
15,0.004042597487568855,0.004042597487568855,0.0005013191852287777,0.002,0.9
16,0.004016054794192314,0.004016054794192314,0.0005109254393500018,0.002,0.9
17,0.003985591698437929,0.003985591698437929,0.0004797514526723169,0.002,0.9
18,0.003941784147173166,0.003941784147173166,0.0004708897239105151,0.002,0.9
19,0.003923674579709768,0.003923674579709768,0.0004850767681632152,0.002,0.9
20,0.0038907660637050867,0.0038907660637050867,0.0004763986093960995,0.002,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.01582670956850052,0.01582670956850052,0.014840014943712473,0.002,0.9
2,0.006972988601773977,0.006972988601773977,0.0009810654635669601,0.002,0.9
3,0.005816064774990082,0.005816064774990082,0.0007118385708877852,0.002,0.9
4,0.005262585356831551,0.005262585356831551,0.0006312611727353117,0.002,0.9
5,0.0049329702742397785,0.0049329702742397785,0.00060645097087632,0.002,0.9
6,0.0046987757086753845,0.0046987757086753845,0.0006068418659110808,0.002,0.9
7,0.004548056982457638,0.004548056982457638,0.000554805868684414,0.002,0.9
8,0.00443209009245038,0.00443209009245038,0.0005435346238294062,0.002,0.9
9,0.004345322027802467,0.004345322027802467,0.000530198413483534,0.002,0.9
10,0.004274411592632532,0.004274411592632532,0.0005263179240418257,0.002,0.9
11,0.004217766225337982,0.004217766225337982,0.0005350375607644046,0.002,0.9
12,0.004171289503574371,0.004171289503574371,0.000537388067530764,0.002,0.9
13,0.004142763093113899,0.004142763093113899,0.0005176126658990625,0.002,0.9
14,0.0040664332918822765,0.0040664332918822765,0.0004948848944067278,0.002,0.9
15,0.004042597487568855,0.004042597487568855,0.0005013191852287777,0.002,0.9
16,0.004016054794192314,0.004016054794192314,0.0005109254393500018,0.002,0.9
