step,loss,loss/mean,loss/std,lr,momentum
1,0.002598185557872057,0.002598185557872057,0.021662845666579,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.00043090558028779924,0.00043090558028779924,0.0029645914431098556,0.001,0.9
2,4.792729305336252e-05,4.792729305336252e-05,2.587505922053991e-05,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0002652473049238324,0.0002652473049238324,0.0018967839206735727,0.001,0.9
2,3.3104373869718984e-05,3.3104373869718984e-05,1.8303436574180935e-05,0.001,0.9
3,3.7331192288547754e-05,3.7331192288547754e-05,2.5386340849517533e-05,0.001,0.9
4,3.752132397494279e-05,3.752132397494279e-05,3.889028146337804e-05,0.001,0.9
5,3.028839455510024e-05,3.028839455510024e-05,1.6467916276544828e-05,0.001,0.9
6,3.42649727826938e-05,3.42649727826938e-05,3.1034475324552275e-05,0.001,0.9
7,2.9701966923312284e-05,2.9701966923312284e-05,1.7570383816434747e-05,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.00010274544183630496,0.00010274544183630496,0.0006733550542748404,0.001,0.9
2,2.3749784304527566e-05,2.3749784304527566e-05,1.575375527880986e-05,0.001,0.9
3,3.0475186576950364e-05,3.0475186576950364e-05,1.7755894594775135e-05,0.001,0.9
4,2.5462071789661422e-05,2.5462071789661422e-05,1.5885369321750666e-05,0.001,0.9
5,2.4748360374360345e-05,2.4748360374360345e-05,1.4653826125627408e-05,0.001,0.9
6,2.5677118173916824e-05,2.5677118173916824e-05,1.6605632742358103e-05,0.001,0.9
7,2.3005492039374076e-05,2.3005492039374076e-05,1.4649932363055896e-05,0.001,0.9
8,2.282178684254177e-05,2.282178684254177e-05,1.449829064386982e-05,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,9.284058614866808e-05,9.284058614866808e-05,0.0006126404223616028,0.001,0.9
2,1.4559997907781508e-05,1.4559997907781508e-05,8.658138973130312e-06,0.001,0.9
