step,loss,loss/mean,loss/std,lr,momentum
1,11.688673973083496,11.688673973083496,0.5131841311330803,0.002,0.9
2,11.688572883605957,11.688572883605957,0.49514697417392417,0.002,0.9
3,11.688573837280273,11.688573837280273,0.5182194724948448,0.002,0.9
4,11.688573837280273,11.688573837280273,0.5160056051331097,0.002,0.9
5,11.688573837280273,11.688573837280273,0.49748904773402225,0.002,0.9
6,11.688573837280273,11.688573837280273,0.5042129317358306,0.002,0.9
7,11.688573837280273,11.688573837280273,0.5337022490620483,0.002,0.9
8,11.688573837280273,11.688573837280273,0.48111217882345064,0.002,0.9
9,11.688572883605957,11.688572883605957,0.5042476813756497,0.002,0.9
10,11.688572883605957,11.688572883605957,0.5246539937047706,0.002,0.9
11,11.688572883605957,11.688572883605957,0.5456346452817095,0.002,0.9
12,11.688572883605957,11.688572883605957,0.4964810474673261,0.002,0.9
13,11.688572883605957,11.688572883605957,0.4848422489924497,0.002,0.9
14,11.688572883605957,11.688572883605957,0.5028329751558017,0.002,0.9
15,11.688572883605957,11.688572883605957,0.5068938662604927,0.002,0.9
16,11.688572883605957,11.688572883605957,0.5173928207035646,0.002,0.9
17,11.688572883605957,11.688572883605957,0.4961026878045993,0.002,0.9
18,11.688572883605957,11.688572883605957,0.5102187831216052,0.002,0.9
19,11.688572883605957,11.688572883605957,0.4773543669733878,0.002,0.9
20,11.688572883605957,11.688572883605957,0.5035188807747627,0.002,0.9
21,11.688572883605957,11.688572883605957,0.5342617681814131,0.002,0.9
22,11.688572883605957,11.688572883605957,0.5110297048380776,0.002,0.9
23,11.688572883605957,11.688572883605957,0.5055513625775807,0.002,0.9
24,11.688572883605957,11.688572883605957,0.5063846561550865,0.002,0.9
25,11.688572883605957,11.688572883605957,0.5435168824677352,0.002,0.9
26,11.688572883605957,11.688572883605957,0.4859459104293566,0.002,0.9
27,11.688572883605957,11.688572883605957,0.48496926246750865,0.002,0.9
28,11.688572883605957,11.688572883605957,0.4949146978060932,0.002,0.9
29,11.688572883605957,11.688572883605957,0.5247889194275456,0.002,0.9
30,11.688572883605957,11.688572883605957,0.4951559123071426,0.002,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,11.683727264404297,11.683727264404297,0.49317448347000237,0.002,0.9
2,11.68363094329834,11.68363094329834,0.5123508398846324,0.002,0.9
3,11.683631896972656,11.683631896972656,0.5126078391631312,0.002,0.9
4,11.683631896972656,11.683631896972656,0.5048394542988061,0.002,0.9
5,11.683631896972656,11.683631896972656,0.5195601581343274,0.002,0.9
6,11.683631896972656,11.683631896972656,0.5151491490535598,0.002,0.9
7,11.683631896972656,11.683631896972656,0.5000987616560393,0.002,0.9
8,11.68363094329834,11.68363094329834,0.4904376194808235,0.002,0.9
9,11.68363094329834,11.68363094329834,0.5067384781385443,0.002,0.9
10,11.68363094329834,11.68363094329834,0.4821351233979551,0.002,0.9
11,11.68363094329834,11.68363094329834,0.5080174574791425,0.002,0.9
12,11.68363094329834,11.68363094329834,0.5246860002197207,0.002,0.9
13,11.683629989624023,11.683629989624023,0.5185317204442744,0.002,0.9
14,11.683629989624023,11.683629989624023,0.5008156815535925,0.002,0.9
15,11.683629989624023,11.683629989624023,0.5134326776239517,0.002,0.9
16,11.683629989624023,11.683629989624023,0.49070763191830524,0.002,0.9
17,11.683629989624023,11.683629989624023,0.4899705107926219,0.002,0.9
18,11.683629989624023,11.683629989624023,0.5058242857982578,0.002,0.9
19,11.683629989624023,11.683629989624023,0.5057425628413167,0.002,0.9
20,11.683629989624023,11.683629989624023,0.4987957215315887,0.002,0.9
21,11.683629989624023,11.683629989624023,0.47952085590094806,0.002,0.9
22,11.683629989624023,11.683629989624023,0.505572944520965,0.002,0.9
23,11.683629989624023,11.683629989624023,0.4985524550460851,0.002,0.9
24,11.683629989624023,11.683629989624023,0.49611773443206103,0.002,0.9
25,11.683629989624023,11.683629989624023,0.5229512064232965,0.002,0.9
26,11.683629989624023,11.683629989624023,0.5171398584253196,0.002,0.9
27,11.683629989624023,11.683629989624023,0.5184648437595473,0.002,0.9
28,11.683629989624023,11.683629989624023,0.5007560997744287,0.002,0.9
29,11.683629989624023,11.683629989624023,0.4963284841606844,0.002,0.9
