step,loss,loss/mean,loss/std,lr,momentum
1,11.752737998962402,11.752737998962402,0.49089179009485245,0.002,0.9
2,11.752679824829102,11.752679824829102,0.4988161409216647,0.002,0.9
3,11.752679824829102,11.752679824829102,0.5316922351758877,0.002,0.9
4,11.752679824829102,11.752679824829102,0.5031348400210756,0.002,0.9
5,11.752679824829102,11.752679824829102,0.5077498464650443,0.002,0.9
6,11.752678871154785,11.752678871154785,0.5119877413073948,0.002,0.9
7,11.752678871154785,11.752678871154785,0.5013732778181246,0.002,0.9
8,11.752678871154785,11.752678871154785,0.5087312160902913,0.002,0.9
9,11.752678871154785,11.752678871154785,0.4876397612235952,0.002,0.9
10,11.752678871154785,11.752678871154785,0.5012220969129193,0.002,0.9
11,11.752678871154785,11.752678871154785,0.49508080104003654,0.002,0.9
12,11.752677917480469,11.752677917480469,0.4931477259841731,0.002,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,11.688630104064941,11.688630104064941,0.5131743469484896,0.002,0.9
2,11.688573837280273,11.688573837280273,0.4951469224217507,0.002,0.9
3,11.68857479095459,11.68857479095459,0.5182195639763504,0.002,0.9
4,11.688573837280273,11.688573837280273,0.5160056712597662,0.002,0.9
5,11.688573837280273,11.688573837280273,0.4974889730632781,0.002,0.9
6,11.688573837280273,11.688573837280273,0.5042127836937501,0.002,0.9
7,11.688573837280273,11.688573837280273,0.5337022644956257,0.002,0.9
8,11.688572883605957,11.688572883605957,0.48111225373623656,0.002,0.9
9,11.688572883605957,11.688572883605957,0.5042476142855025,0.002,0.9
10,11.688572883605957,11.688572883605957,0.5246539765907433,0.002,0.9
11,11.688572883605957,11.688572883605957,0.5456346262970005,0.002,0.9
12,11.688572883605957,11.688572883605957,0.49648104885603067,0.002,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,11.688572883605957,11.688572883605957,0.5131631537972219,0.0005,0.9
2,11.688572883605957,11.688572883605957,0.4951469089301119,0.0005,0.9
3,11.688572883605957,11.688572883605957,0.518219417926418,0.0005,0.9
4,11.688572883605957,11.688572883605957,0.5160056560178194,0.0005,0.9
5,11.688572883605957,11.688572883605957,0.4974890298635392,0.0005,0.9
6,11.688572883605957,11.688572883605957,0.5042128462271561,0.0005,0.9
7,11.688572883605957,11.688572883605957,0.5337022940022407,0.0005,0.9
8,11.688572883605957,11.688572883605957,0.4811122447356807,0.0005,0.9
9,11.688572883605957,11.688572883605957,0.504247642759976,0.0005,0.9
10,11.688572883605957,11.688572883605957,0.5246539991552491,0.0005,0.9
11,11.688572883605957,11.688572883605957,0.5456346253094133,0.0005,0.9
12,11.688572883605957,11.688572883605957,0.49648106633796957,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,11.688572883605957,11.688572883605957,0.5131632368038685,0.001,0.9
2,11.688572883605957,11.688572883605957,0.4951469508038353,0.001,0.9
3,11.688572883605957,11.688572883605957,0.5182194322138323,0.001,0.9
4,11.688572883605957,11.688572883605957,0.5160056784772687,0.001,0.9
