step,loss,loss/mean,loss/std,lr,momentum
1,0.051054224371910095,0.051054224371910095,0.06505889272417632,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.01274971105158329,0.01274971105158329,0.003334759593294763,0.001,0.9
2,0.007428687997162342,0.007428687997162342,0.0012003517202315026,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0057024578563869,0.0057024578563869,0.0011318689005977158,0.001,0.9
2,0.004549623932689428,0.004549623932689428,0.00066577914603343,0.001,0.9
3,0.003918449394404888,0.003918449394404888,0.0005550867075288071,0.001,0.9
4,0.003431048011407256,0.003431048011407256,0.0005171117353172866,0.001,0.9
5,0.003164314664900303,0.003164314664900303,0.0005059973847992295,0.001,0.9
6,0.0029360249172896147,0.0029360249172896147,0.0004214480085086937,0.001,0.9
7,0.002759012160822749,0.002759012160822749,0.00041567036328304995,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0027080224826931953,0.0027080224826931953,0.0009318473147615982,0.001,0.9
2,0.0024809592869132757,0.0024809592869132757,0.0003746978458256988,0.001,0.9
3,0.002410736633464694,0.002410736633464694,0.0003429020829141695,0.001,0.9
4,0.0022613920737057924,0.0022613920737057924,0.00034936607563941865,0.001,0.9
5,0.00222997204400599,0.00222997204400599,0.00034280113929274894,0.001,0.9
6,0.0021574979182332754,0.0021574979182332754,0.00029730099070287907,0.001,0.9
7,0.0020954173523932695,0.0020954173523932695,0.00030962064569326565,0.001,0.9
8,0.0020215900149196386,0.0020215900149196386,0.0003210012915715475,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0020682704634964466,0.0020682704634964466,0.0011647468427765316,0.001,0.9
2,0.0018962508765980601,0.0018962508765980601,0.00028548826466358155,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.04961692914366722,0.04961692914366722,0.06358292183159964,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.012429370544850826,0.012429370544850826,0.0032376968376931392,0.001,0.9
2,0.007409470621496439,0.007409470621496439,0.0011944424652046242,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.005740917753428221,0.005740917753428221,0.0011022577435873663,0.001,0.9
2,0.004600548651069403,0.004600548651069403,0.000654617849322941,0.001,0.9
3,0.004000021144747734,0.004000021144747734,0.0005594325902743775,0.001,0.9
4,0.003559895558282733,0.003559895558282733,0.0005221069840795936,0.001,0.9
5,0.0032221556175500154,0.0032221556175500154,0.0004972466605292895,0.001,0.9
6,0.002998046111315489,0.002998046111315489,0.00043869137612266953,0.001,0.9
7,0.002796467626467347,0.002796467626467347,0.0004376144992799249,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0027464493177831173,0.0027464493177831173,0.000928105898937708,0.001,0.9
2,0.0025324176531285048,0.0025324176531285048,0.0003766264907813144,0.001,0.9
3,0.0023994161747395992,0.0023994161747395992,0.00037347267266228543,0.001,0.9
4,0.002295514103025198,0.002295514103025198,0.0003582667268602123,0.001,0.9
5,0.0022390945814549923,0.0022390945814549923,0.00037117869975702414,0.001,0.9
6,0.002176400739699602,0.002176400739699602,0.0003081420388524428,0.001,0.9
7,0.0020765243098139763,0.0020765243098139763,0.00033677701364446605,0.001,0.9
8,0.0020040979143232107,0.0020040979143232107,0.0003145720111803358,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.002047521062195301,0.002047521062195301,0.0005619399885433169,0.001,0.9
2,0.0019517509499564767,0.0019517509499564767,0.0002931786361202039,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.052032243460416794,0.052032243460416794,0.06986564693919886,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.012975024059414864,0.012975024059414864,0.003438145500971828,0.001,0.9
2,0.007683103904128075,0.007683103904128075,0.0012358037121699339,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.005941051058471203,0.005941051058471203,0.0011683480239544285,0.001,0.9
2,0.00474478118121624,0.00474478118121624,0.0006951388670414563,0.001,0.9
3,0.004117117263376713,0.004117117263376713,0.000576741424099497,0.001,0.9
4,0.003655211068689823,0.003655211068689823,0.0005232257492877135,0.001,0.9
5,0.003337122732773423,0.003337122732773423,0.0005430725730623402,0.001,0.9
6,0.0030464211013168097,0.0030464211013168097,0.00042679741863003756,0.001,0.9
7,0.0028571891598403454,0.0028571891598403454,0.0004455750584356813,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.002800276502966881,0.002800276502966881,0.0006528288502435069,0.001,0.9
2,0.002593961311504245,0.002593961311504245,0.0003932437581424618,0.001,0.9
3,0.0025267142336815596,0.0025267142336815596,0.00036692604614923944,0.001,0.9
4,0.0023709142114967108,0.0023709142114967108,0.00033566087871924683,0.001,0.9
5,0.0022665003780275583,0.0022665003780275583,0.0003580111715268583,0.001,0.9
6,0.0021986805368214846,0.0021986805368214846,0.00031670906365974103,0.001,0.9
7,0.0021409355103969574,0.0021409355103969574,0.0003386351932114799,0.001,0.9
8,0.002109478460624814,0.002109478460624814,0.00031728195704959754,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.002107043983414769,0.002107043983414769,0.0007338721385957903,0.001,0.9
2,0.001991936704143882,0.001991936704143882,0.0003091286137134382,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.052032243460416794,0.052032243460416794,0.06986564637983633,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.012973686680197716,0.012973686680197716,0.003426166967227577,0.001,0.9
