step,loss,loss/mean,loss/std,lr,momentum
8,0.013328145258128643,0.013328145258128643,0.010572325708368326,0.001,0.9
9,0.01344414334744215,0.01344414334744215,0.01209451669928735,0.001,0.9
10,0.012351412326097488,0.012351412326097488,0.011808377597692828,0.001,0.9
11,0.011936856433749199,0.011936856433749199,0.011694351582408901,0.001,0.9
12,0.012311081402003765,0.012311081402003765,0.012565043360528888,0.001,0.9
13,0.012932298704981804,0.012932298704981804,0.012940707114410734,0.001,0.9
14,0.012398377992212772,0.012398377992212772,0.013356602980345836,0.001,0.9
15,0.010688363574445248,0.010688363574445248,0.01085974416524851,0.001,0.9
16,0.011137429624795914,0.011137429624795914,0.011953000911565917,0.001,0.9
17,0.010251671075820923,0.010251671075820923,0.01034607103414872,0.001,0.9
18,0.010686315596103668,0.010686315596103668,0.012314603402609226,0.001,0.9
19,0.01004678662866354,0.01004678662866354,0.011655499947909109,0.001,0.9
20,0.00996971596032381,0.00996971596032381,0.011545097948859613,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.11087565869092941,0.11087565869092941,0.13125229454786957,0.001,0.9
2,0.03276311606168747,0.03276311606168747,0.016104907530454578,0.001,0.9
3,0.02234298549592495,0.02234298549592495,0.012092497800551048,0.001,0.9
4,0.019316120073199272,0.019316120073199272,0.013947823192328632,0.001,0.9
5,0.015928218141198158,0.015928218141198158,0.01132033112621453,0.001,0.9
6,0.015584942884743214,0.015584942884743214,0.012802164523184155,0.001,0.9
7,0.013876029290258884,0.013876029290258884,0.012534750896938368,0.001,0.9
8,0.013291126117110252,0.013291126117110252,0.01113595963604327,0.001,0.9
9,0.012196368537843227,0.012196368537843227,0.010627128735445567,0.001,0.9
10,0.012014388106763363,0.012014388106763363,0.010948172137344264,0.001,0.9
11,0.011519525200128555,0.011519525200128555,0.011202791870532292,0.001,0.9
12,0.011587929911911488,0.011587929911911488,0.013394868734426631,0.001,0.9
13,0.011547344736754894,0.011547344736754894,0.012331074461484156,0.001,0.9
14,0.010851367376744747,0.010851367376744747,0.010847412871133963,0.001,0.9
15,0.010385207831859589,0.010385207831859589,0.011067800643560699,0.001,0.9
16,0.012184306979179382,0.012184306979179382,0.016838702057452276,0.001,0.9
17,0.00985029898583889,0.00985029898583889,0.011169007547921985,0.001,0.9
18,0.010469074361026287,0.010469074361026287,0.012134023139670016,0.001,0.9
19,0.010072045028209686,0.010072045028209686,0.011376055658035343,0.001,0.9
20,0.00911450944840908,0.00911450944840908,0.00991132947877086,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.11262624710798264,0.11262624710798264,0.13022795896578082,0.001,0.9
2,0.03223120793700218,0.03223120793700218,0.014909627037491817,0.001,0.9
3,0.02309006080031395,0.02309006080031395,0.013791931934672057,0.001,0.9
4,0.0192854180932045,0.0192854180932045,0.012138018843331246,0.001,0.9
5,0.017064744606614113,0.017064744606614113,0.011341752329788218,0.001,0.9
6,0.015558072365820408,0.015558072365820408,0.011060056598720712,0.001,0.9
7,0.01639672741293907,0.01639672741293907,0.013929703432965236,0.001,0.9
8,0.01432765368372202,0.01432765368372202,0.01291289246645218,0.001,0.9
9,0.012234061025083065,0.012234061025083065,0.01051667660457586,0.001,0.9
10,0.012340755201876163,0.012340755201876163,0.010950581539766671,0.001,0.9
11,0.011869997717440128,0.011869997717440128,0.010966113382091677,0.001,0.9
12,0.011407156474888325,0.011407156474888325,0.010886687608870604,0.001,0.9
13,0.012264939956367016,0.012264939956367016,0.012846157387370166,0.001,0.9
14,0.01099556777626276,0.01099556777626276,0.01143549020010731,0.001,0.9
15,0.011179238557815552,0.011179238557815552,0.011374991866597055,0.001,0.9
16,0.009989636018872261,0.009989636018872261,0.010243456236338017,0.001,0.9
17,0.011441713199019432,0.011441713199019432,0.012498154613249277,0.001,0.9
18,0.009721941314637661,0.009721941314637661,0.009814960760588997,0.001,0.9
19,0.009573055431246758,0.009573055431246758,0.010363646593864784,0.001,0.9
20,0.009553520008921623,0.009553520008921623,0.010463063133681862,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.11259116977453232,0.11259116977453232,0.1294672982932275,0.001,0.9
2,0.03243996948003769,0.03243996948003769,0.015619501168581558,0.001,0.9
3,0.022381100803613663,0.022381100803613663,0.012617244017566757,0.001,0.9
4,0.019043095409870148,0.019043095409870148,0.012943552138778281,0.001,0.9
5,0.01722593978047371,0.01722593978047371,0.013374508943198237,0.001,0.9
6,0.015065805055201054,0.015065805055201054,0.011308874837380162,0.001,0.9
7,0.014531763270497322,0.014531763270497322,0.011930469330861573,0.001,0.9
8,0.013446911238133907,0.013446911238133907,0.011566704318230425,0.001,0.9
9,0.012759562581777573,0.012759562581777573,0.011204781370165536,0.001,0.9
10,0.011924833059310913,0.011924833059310913,0.011178160621393724,0.001,0.9
11,0.01231570914387703,0.01231570914387703,0.012394056281213114,0.001,0.9
