step,loss,loss/mean,loss/std,lr,momentum
1,0.07322508096694946,0.07322508096694946,0.0612074900405691,0.005,0.9
2,0.039873525500297546,0.039873525500297546,0.004623427697405911,0.005,0.9
3,0.03492600470781326,0.03492600470781326,0.0038108107898696796,0.005,0.9
4,0.03236210346221924,0.03236210346221924,0.0033760791214602526,0.005,0.9
5,0.031091099604964256,0.031091099604964256,0.0032428186817515434,0.005,0.9
6,0.030004920437932014,0.030004920437932014,0.003120158856009831,0.005,0.9
7,0.028981518000364304,0.028981518000364304,0.003032565717541226,0.005,0.9
8,0.02848377823829651,0.02848377823829651,0.0028559081621641587,0.005,0.9
9,0.028028596192598343,0.028028596192598343,0.0030197366514589886,0.005,0.9
10,0.027426276355981827,0.027426276355981827,0.0030078547148084827,0.005,0.9
11,0.027106834575533867,0.027106834575533867,0.0030011459031147754,0.005,0.9
12,0.026801787316799164,0.026801787316799164,0.002861405581923116,0.005,0.9
13,0.026609117165207863,0.026609117165207863,0.003042664813827113,0.005,0.9
14,0.026549803093075752,0.026549803093075752,0.0027856561920546227,0.005,0.9
15,0.02630172111093998,0.02630172111093998,0.002812059221142532,0.005,0.9
16,0.026086119934916496,0.026086119934916496,0.0026758751411380256,0.005,0.9
17,0.025831282138824463,0.025831282138824463,0.0028372858809649335,0.005,0.9
18,0.0257748831063509,0.0257748831063509,0.002996057983422089,0.005,0.9
19,0.025753196328878403,0.025753196328878403,0.0027819679062257405,0.005,0.9
20,0.02549421228468418,0.02549421228468418,0.0028809820307725046,0.005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.0919843316078186,0.0919843316078186,0.07306231599220595,0.002,0.9
2,0.046940241008996964,0.046940241008996964,0.005516873479231823,0.002,0.9
3,0.0390104316174984,0.0390104316174984,0.004144750644611805,0.002,0.9
4,0.03542611002922058,0.03542611002922058,0.0037977674224431283,0.002,0.9
5,0.033051226288080215,0.033051226288080215,0.0034600070972975574,0.002,0.9
6,0.0314105823636055,0.0314105823636055,0.003319566991651395,0.002,0.9
7,0.030286572873592377,0.030286572873592377,0.0030863067198309726,0.002,0.9
8,0.029690472409129143,0.029690472409129143,0.003101221433218239,0.002,0.9
9,0.028748128563165665,0.028748128563165665,0.003029009611461947,0.002,0.9
