step,loss,loss/mean,loss/std,lr,momentum
step,loss,loss/mean,loss/std,lr,momentum
1,0.022977812215685844,0.022977812215685844,0.045376860940547915,0.001,0.9
2,0.005439354106783867,0.005439354106783867,0.001350278354339708,0.001,0.9
3,0.0035601502750068903,0.0035601502750068903,0.0005782938987463107,0.001,0.9
4,0.0028465637005865574,0.0028465637005865574,0.0005102110854943383,0.001,0.9
5,0.002412241417914629,0.002412241417914629,0.00040736984956362966,0.001,0.9
6,0.002100625541061163,0.002100625541061163,0.00037027248150125016,0.001,0.9
7,0.0018321507377550006,0.0018321507377550006,0.00033137562662914974,0.001,0.9
8,0.0016238626558333635,0.0016238626558333635,0.00027548525489953226,0.001,0.9
9,0.0016215353971347213,0.0016215353971347213,0.00040715785956353337,0.001,0.9
10,0.001470751827582717,0.001470751827582717,0.0002595775460142738,0.001,0.9
11,0.00131226924713701,0.00131226924713701,0.0001991241358135974,0.001,0.9
12,0.0012274900218471885,0.0012274900218471885,0.00019926534820748082,0.001,0.9
13,0.0012377214152365923,0.0012377214152365923,0.00021175875586875088,0.001,0.9
14,0.0011716700391843915,0.0011716700391843915,0.000221374516253618,0.001,0.9
15,0.0010824736673384905,0.0010824736673384905,0.00019878242633019266,0.001,0.9
16,0.000999395502731204,0.000999395502731204,0.00014523935866064025,0.001,0.9
17,0.0009616608149372041,0.0009616608149372041,0.00016239811745331044,0.001,0.9
18,0.0009306691936217248,0.0009306691936217248,0.00012921129103839792,0.001,0.9
19,0.0009365018340758979,0.0009365018340758979,0.0001473233480349811,0.001,0.9
20,0.00089156290050596,0.00089156290050596,0.00017010634744265475,0.001,0.9
