step,loss,loss/mean,loss/std,lr,momentum
1,11.639533996582031,11.639533996582031,0.49687120373975374,0.002,0.9
2,11.63941478729248,11.63941478729248,0.5106055146851656,0.002,0.9
3,11.639413833618164,11.639413833618164,0.4986358192065505,0.002,0.9
4,11.639413833618164,11.639413833618164,0.5215898841053794,0.002,0.9
5,11.639413833618164,11.639413833618164,0.5051138811621506,0.002,0.9
6,11.639413833618164,11.639413833618164,0.533468574537774,0.002,0.9
7,11.639413833618164,11.639413833618164,0.5181203541840756,0.002,0.9
8,11.639413833618164,11.639413833618164,0.507399901813553,0.002,0.9
9,11.639413833618164,11.639413833618164,0.4975514544204642,0.002,0.9
10,11.639413833618164,11.639413833618164,0.4982172160637155,0.002,0.9
11,11.639413833618164,11.639413833618164,0.5111260155238736,0.002,0.9
12,11.639413833618164,11.639413833618164,0.5338640466005656,0.002,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,11.639413833618164,11.639413833618164,0.49688226273429953,0.0005,0.9
2,11.639413833618164,11.639413833618164,0.5106055579494222,0.0005,0.9
3,11.639413833618164,11.639413833618164,0.49863587152563493,0.0005,0.9
4,11.639413833618164,11.639413833618164,0.5215899327647949,0.0005,0.9
5,11.639413833618164,11.639413833618164,0.5051139256870032,0.0005,0.9
6,11.639413833618164,11.639413833618164,0.533468615976937,0.0005,0.9
7,11.639413833618164,11.639413833618164,0.5181204272497703,0.0005,0.9
8,11.639413833618164,11.639413833618164,0.5073999288207727,0.0005,0.9
9,11.639413833618164,11.639413833618164,0.49755144203466944,0.0005,0.9
10,11.639413833618164,11.639413833618164,0.4982173114658604,0.0005,0.9
11,11.639413833618164,11.639413833618164,0.5111260519475433,0.0005,0.9
12,11.639413833618164,11.639413833618164,0.5338640828063653,0.0005,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,11.639413833618164,11.639413833618164,0.4968822194077681,0.001,0.9
2,11.639413833618164,11.639413833618164,0.5106055471888609,0.001,0.9
3,11.639413833618164,11.639413833618164,0.49863586860469694,0.001,0.9
4,11.639413833618164,11.639413833618164,0.5215899481481902,0.001,0.9
5,11.639413833618164,11.639413833618164,0.5051139492420411,0.001,0.9
6,11.639413833618164,11.639413833618164,0.5334685985379229,0.001,0.9
