0 & 1076.0365718678077
1 & 936.4127308544454
10 & 610.6628017526043
100 & 331.2921310956277
200 & 274.29751137985454
500 & 391.1338784942488
700 & 207.19330748038024
900 & 168.35225853559095
2000 & 151.28254478078279
5000 & 141.1133799632289
10000 & 159.94068008871417
50000 & 173.37575790280073
75000 & 173.29422202988968
